ST,accession,organism,16S_copies
492,GCF_002846455.1,Streptomyces sp.,4
492,GCF_900105245.1,Streptomyces sp.,4
493,GCF_002879675.2,Streptomyces sp.,1
494,GCF_002891315.1,Streptomyces noursei,7
495,GCF_002891435.1,Streptomyces sp.,1
496,GCF_002899455.1,Streptomyces sp.,6
497,GCF_002910775.2,Streptomyces sp.,5
498,GCF_002910815.1,Streptomyces sp.,7
498,GCF_002910795.1,Streptomyces sp.,5
499,GCF_002910875.1,Streptomyces sp.,4
500,GCF_002910905.1,Streptomyces sp.,1
501,GCF_002910935.1,Streptomyces sp.,7
501,GCF_002910985.1,Streptomyces sp.,7
502,GCF_002939385.1,Streptomyces sp.,1
503,GCF_002941025.1,Streptomyces sp.,6
504,GCF_003013745.1,Streptomyces sp.,1
505,GCF_003024215.1,Streptomyces sp.,10
506,GCF_003041235.1,Streptomyces sp.,1
507,GCF_003048205.2,Streptomyces chartreusis,4
508,GCF_003074055.1,Streptomyces nigra,6
509,GCF_003112555.1,Streptomyces coelicoflavus,1
510,GCF_003112595.1,Streptomyces rubrogriseus,1
511,GCF_003116675.1,Streptomyces sp.,1
512,GCF_003116715.1,Streptomyces sp.,1
513,GCF_003116755.1,Streptomyces sp.,5
514,GCF_003116775.1,Streptomyces sp.,4
515,GCF_003116795.1,Streptomyces sp.,1
516,GCF_003143935.1,Streptomyces sp.,1
517,GCF_003148825.1,Streptomyces sp.,1
518,GCF_900207595.1,Streptomyces microflavus,1
518,GCF_003268965.1,Streptomyces avidinii,1
519,GCF_003330865.1,Streptomyces atratus,6
520,GCF_003352445.1,Streptomyces cavourensis,4
521,GCF_003353555.1,Streptomyces sp.,5
522,GCF_003363195.1,Streptomyces sp.,2
523,GCF_003367645.1,Streptomyces sp.,1
524,GCF_003369795.1,Streptomyces sp.,6
525,GCF_003386845.1,Streptomyces sp.,6
526,GCF_003389455.1,Streptomyces inhibens,1
527,GCF_003443735.1,Streptomyces sp.,6
528,GCF_003595235.1,Streptomyces griseorubiginosus,5
529,GCF_003595545.1,Streptomyces sp.,6
530,GCF_003610995.1,Streptomyces griseus,5
531,GCF_003634815.1,Streptomyces sp.,2
532,GCF_003671675.1,Streptomyces sp.,1
533,GCF_003671685.1,Streptomyces sp.,1
534,GCF_003671715.1,Streptomyces sp.,2
535,GCF_003671755.1,Streptomyces sp.,1
536,GCF_003675955.1,Streptomyces rapamycinicus,4
536,GCF_014205315.1,Streptomyces rapamycinicus,4
537,GCF_003687515.1,Streptomyces sp.,1
538,GCF_003751175.1,Streptomyces sp.,4
539,GCF_003751985.1,Streptomyces sp.,5
540,GCF_003752205.1,Streptomyces sp.,1
541,GCF_003814525.1,Streptomyces sp.,4
542,GCF_003865135.1,Streptomyces chrestomyceticus,3
543,GCF_003865155.1,Streptomyces rimosus,4
544,GCF_003933295.1,Streptomyces griseofuscus,1
545,GCF_003933485.1,Streptomyces griseofuscus,1
546,GCF_003933965.1,Streptomyces sp.,1
547,GCF_003935055.1,Streptomyces alboflavus,2
548,GCF_003945525.1,Streptomyces sp.,1
549,GCF_003947265.1,Streptomyces sp.,1
550,GCF_003947555.1,Streptomyces sp.,1
551,GCF_003947575.1,Streptomyces sp.,1
552,GCF_003947585.1,Streptomyces sp.,1
553,GCF_003949535.1,Streptomyces sp.,1
554,GCF_003949695.1,Streptomyces sp.,1
555,GCF_003949805.1,Streptomyces sp.,1
556,GCF_003949835.1,Streptomyces sp.,1
557,GCF_003949875.1,Streptomyces sp.,1
558,GCF_003949895.1,Streptomyces sp.,1
559,GCF_003949905.1,Streptomyces sp.,1
560,GCF_003950035.1,Streptomyces sp.,7
561,GCF_003955715.1,Streptomyces aquilus,5
562,GCF_003963535.1,Streptomyces cyaneochromogenes,2
563,GCF_003977875.1,Streptomyces sp.,1
564,GCF_003984905.1,Streptomyces sp.,1
565,GCF_003984925.1,Streptomyces sp.,1
566,GCF_003984935.1,Streptomyces sp.,1
567,GCF_003984965.1,Streptomyces sp.,1
567,GCF_014651095.1,Streptomyces geysiriensis,1
568,GCF_003984975.1,Streptomyces sp.,1
569,GCF_003989035.1,Streptomyces sp.,1
570,GCF_003994375.1,Streptomyces lydicus,6
570,GCF_004125275.1,Streptomyces lydicus,6
571,GCF_004000395.1,Streptomyces sp.,1
572,GCF_004000405.1,Streptomyces sp.,1
573,GCF_004078575.1,Streptomyces albidoflavus,1
574,GCF_004104485.1,Streptomyces sp.,7
575,GCF_004117935.1,Streptomyces roseicoloratus,1
576,GCF_004124335.1,Streptomyces sp.,6
577,GCF_004125265.1,Streptomyces lydicus,7
578,GCF_004125315.1,Streptomyces sp.,6
579,GCF_004151105.1,Streptomyces sp.,1
580,GCF_004195735.1,Streptomyces albidoflavus,1
581,GCF_004195745.1,Streptomyces albidoflavus,1
582,GCF_004195895.1,Streptomyces albidoflavus,1
583,GCF_004196225.1,Streptomyces sp.,1
584,GCF_004217355.1,Streptomyces sp.,1
585,GCF_004320085.1,Streptomyces kasugaensis,1
586,GCF_004341025.1,Streptomyces sp.,1
587,GCF_004342785.1,Streptomyces sp.,1
588,GCF_004343295.1,Streptomyces sp.,1
589,GCF_004343515.1,Streptomyces sp.,1
590,GCF_004364215.1,Streptomyces sp.,1
591,GCF_004364245.1,Streptomyces sp.,1
592,GCF_004364395.1,Streptomyces sp.,7
593,GCF_004364835.1,Streptomyces sp.,1
594,GCF_004524875.1,Streptomyces sp.,1
595,GCF_004563805.1,Streptomyces sp.,1
596,GCF_004794175.1,Streptomyces sp.,1
597,GCF_004794665.1,Streptomyces sp.,4
598,GCF_004795115.1,Streptomyces sp.,1
599,GCF_004795155.1,Streptomyces sp.,1
600,GCF_004795715.1,Streptomyces sp.,5
601,GCF_018619155.1,Streptomyces sp.,1
601,GCF_004798565.1,Streptomyces sp.,1
602,GCF_004803895.1,Streptomyces hawaiiensis,5
603,GCF_005234185.1,Streptomyces sp.,1
604,GCF_005490965.1,Streptomyces sp.,5
605,GCF_005938145.1,Streptomyces sp.,6
606,GCF_006516935.1,Streptomyces griseorubiginosus,4
607,GCF_006539185.1,Streptomyces gardneri,1
607,GCF_014655085.1,Streptomyces gardneri,1
608,GCF_006547175.1,Streptomyces ipomoeae,1
609,GCF_006547185.1,Streptomyces ipomoeae,1
610,GCF_006715605.1,Streptomyces sp.,4
611,GCF_006715825.1,Streptomyces sp.,2
612,GCF_006715925.1,Streptomyces sp.,5
613,GCF_006716135.1,Streptomyces asterosporus,3
614,GCF_014649215.1,Streptomyces cavourensis,1
614,GCF_006788935.1,Streptomyces cavourensis,6
615,GCF_007827595.1,Streptomyces sp.,1
616,GCF_007828695.1,Streptomyces sp.,1
617,GCF_007829875.1,Streptomyces capillispiralis,6
618,GCF_007896895.1,Streptomyces misionensis,6
619,GCF_007896905.1,Streptomyces albidoflavus,5
620,GCF_008016805.1,Streptomyces lavendulae,1
621,GCF_008039505.1,Streptomyces sp.,1
622,GCF_008042065.1,Streptomyces sp.,1
623,GCF_008042145.1,Streptomyces sp.,1
624,GCF_008064995.1,Streptomyces rochei,7
625,GCF_008086975.1,Streptomyces sp.,1
626,GCF_008087005.1,Streptomyces sp.,1
627,GCF_008180165.1,Streptomyces parvus,1
628,GCF_008632535.1,Streptomyces parvus,1
628,GCF_014648875.1,Streptomyces parvus,1
629,GCF_008634015.1,Streptomyces filamentosus,3
629,GCF_014654895.1,Streptomyces filamentosus,1
630,GCF_008634025.1,Streptomyces albofaciens,3
631,GCF_008639045.1,Streptomyces venezuelae,7
632,GCF_008642275.1,Streptomyces venezuelae,6
633,GCF_008642375.1,Streptomyces venezuelae,1
634,GCF_008704515.1,Streptomyces viridosporus,1
635,GCF_008704575.1,Streptomyces galilaeus,1
636,GCF_014650315.1,Streptomyces chartreusis,1
636,GCF_008704715.1,Streptomyces chartreusis,6
637,GCF_008704995.1,Streptomyces nodosus,5
637,GCF_017352335.1,Streptomyces nodosus,5
637,GCF_014205035.1,Streptomyces nodosus,5
638,GCF_008705135.1,Streptomyces coeruleorubidus,1
639,GCF_008705255.1,Streptomyces venezuelae,7
640,GCF_008973465.1,Streptomyces sp.,1
641,GCF_009208535.1,Streptomyces mobaraensis,1
642,GCF_009299385.1,Streptomyces cinereoruber,4
642,GCF_011758705.1,Streptomyces cinereoruber,4
642,GCF_014197485.1,Streptomyces cinereoruber,1
643,GCF_009377175.1,Streptomyces adustus,1
644,GCF_009604455.1,Streptomyces sp.,1
645,GCF_009739225.1,Streptomyces sp.,1
646,GCF_009811575.1,Streptomyces glebosus,7
646,GCF_014656235.1,Streptomyces glebosus,1
647,GCF_009829585.1,Streptomyces tendae,1
648,GCF_009831155.1,Streptomyces sp.,2
649,GCF_009832925.1,Streptomyces sp.,2
650,GCF_009834105.1,Streptomyces sp.,4
651,GCF_009834125.1,Streptomyces sp.,6
652,GCF_009834145.1,Streptomyces sp.,6
653,GCF_009852415.1,Streptomyces sp.,6
654,GCF_009857135.1,Streptomyces sp.,5
655,GCF_900091975.1,Streptomyces sp.,1
655,GCF_900091985.1,Streptomyces sp.,1
655,GCF_009862025.1,Streptomyces sp.,1
656,GCF_009862355.1,Streptomyces sp.,1
657,GCF_900091765.1,Streptomyces sp.,1
657,GCF_009862465.1,Streptomyces sp.,1
658,GCF_009862505.1,Streptomyces sp.,1
659,GCF_009862625.1,Streptomyces sp.,1
660,GCF_009862685.1,Streptomyces sp.,2
661,GCF_009862765.1,Streptomyces sp.,1
662,GCF_009863005.1,Streptomyces sp.,1
663,GCF_009863035.1,Streptomyces sp.,1
664,GCF_009863125.1,Streptomyces sp.,1
664,GCF_900091725.1,Streptomyces sp.,1
665,GCF_900091775.1,Streptomyces sp.,1
665,GCF_009863145.1,Streptomyces sp.,1
666,GCF_900091885.1,Streptomyces sp.,1
666,GCF_009863175.1,Streptomyces sp.,1
667,GCF_900187925.1,Streptomyces sp.,1
667,GCF_009864905.1,Streptomyces sp.,1
668,GCF_009865205.1,Streptomyces sp.,1
669,GCF_900091785.1,Streptomyces sp.,1
669,GCF_009865275.1,Streptomyces sp.,1
670,GCF_009865475.1,Streptomyces sp.,1
671,GCF_009865505.1,Streptomyces sp.,1
672,GCF_009865565.1,Streptomyces sp.,1
673,GCF_009865595.1,Streptomyces sp.,1
674,GCF_009872515.1,Streptomyces sp.,1
675,GCF_009872555.1,Streptomyces sp.,1
676,GCF_009872565.1,Streptomyces sp.,1
677,GCF_010119355.1,Streptomyces sp.,1
678,GCF_010523235.1,Streptomyces sp.,6
678,GCF_017979945.1,Streptomyces sp.,7
679,GCF_010548045.1,Streptomyces anulatus,1
680,GCF_010548165.1,Streptomyces cyaneofuscatus,1
681,GCF_010548175.1,Streptomyces halstedii,1
682,GCF_010548185.1,Streptomyces sp.,1
683,GCF_010548375.1,Streptomyces sp.,1
684,GCF_010548385.1,Streptomyces coelicoflavus,1
685,GCF_010548435.1,Streptomyces coelicoflavus,1
686,GCF_010548465.1,Streptomyces sp.,1
687,GCF_010548505.1,Streptomyces sp.,1
688,GCF_010548565.1,Streptomyces griseus,1
689,GCF_010548615.1,Streptomyces anulatus,1
690,GCF_010548665.1,Streptomyces parvus,1
691,GCF_010550525.1,Streptomyces anulatus,1
691,GCF_010548705.1,Streptomyces anulatus,1
692,GCF_010548725.1,Streptomyces sp.,1
693,GCF_010550325.1,Streptomyces rubrogriseus,1
694,GCF_010550365.1,Streptomyces sp.,1
695,GCF_010550375.1,Streptomyces sp.,1
696,GCF_010550405.1,Streptomyces rochei,1
697,GCF_010550435.1,Streptomyces sp.,1
698,GCF_010550625.1,Streptomyces albidoflavus,1
699,GCF_010550645.1,Streptomyces sp.,1
700,GCF_010892295.1,Streptomyces rhizosphaericus,1
701,GCF_010993835.1,Streptomyces sp.,5
702,GCF_011008945.1,Streptomyces sp.,1
703,GCF_011055525.1,Streptomyces sp.,1
704,GCF_011170105.1,Streptomyces rutgersensis,3
705,GCF_011170125.1,Streptomyces diastaticus,5
705,GCF_014648935.1,Streptomyces diastaticus,1
706,GCF_011290345.1,Streptomyces sp.,1
707,GCF_011317205.1,Streptomyces sp.,3
708,GCF_012184365.1,Streptomyces sp.,1
709,GCF_012927225.1,Streptomyces sp.,1
709,GCF_012927245.1,Streptomyces sp.,1
710,GCF_013046785.1,Streptomyces sp.,3
711,GCF_013363665.1,Streptomyces sp.,1
711,GCF_013363455.1,Streptomyces sp.,1
712,GCF_013363585.1,Streptomyces sp.,1
712,GCF_013363485.1,Streptomyces sp.,1
712,GCF_013363465.1,Streptomyces odorifer,1
712,GCF_015601545.1,Streptomyces albidoflavus,7
713,GCF_013363475.1,Streptomyces sp.,1
714,GCF_013363575.1,Streptomyces sp.,1
715,GCF_013363655.1,Streptomyces sp.,1
716,GCF_013363675.1,Streptomyces sp.,1
717,GCF_013363715.1,Streptomyces sp.,1
718,GCF_013363735.1,Streptomyces sp.,1
719,GCF_013364095.1,Streptomyces harbinensis,5
720,GCF_013364175.1,Streptomyces sp.,2
721,GCF_013364315.1,Streptomyces fulvissimus,6
722,GCF_013371965.1,Streptomyces sp.,1
723,GCF_013375055.1,Streptomyces chartreusis,1
724,GCF_013394065.1,Streptomyces rectiverticillatus,3
725,GCF_013401535.1,Streptomyces sp.,1
726,GCF_013423905.1,Streptomyces sp.,6
727,GCF_013870595.1,Streptomyces sp.,1
728,GCF_014076605.1,Streptomyces sp.,1
729,GCF_014649315.1,Streptomyces calvus,1
729,GCF_014138735.1,Streptomyces calvus,1
730,GCF_014138855.1,Streptomyces murinus,7
731,GCF_014138905.1,Streptomyces murinus,7
732,GCF_014202475.1,Streptomyces paradoxus,1
733,GCF_014203495.1,Streptomyces albaduncus,1
733,GCF_014650615.1,Streptomyces albaduncus,1
734,GCF_014649635.1,Streptomyces griseostramineus,1
734,GCF_014203535.1,Streptomyces griseostramineus,1
735,GCF_014203595.1,Streptomyces echinatus,1
736,GCF_014205055.1,Streptomyces luteogriseus,1
737,GCF_014205255.1,Streptomyces caelestis,6
737,GCF_014650295.1,Streptomyces caelestis,1
738,GCF_014207295.1,Streptomyces sp.,1
739,GCF_014253015.1,Streptomyces sp.,1
740,GCF_014281095.1,Streptomyces sp.,7
741,GCF_014596915.1,Streptomyces sp.,1
742,GCF_014648195.1,Streptomyces purpureus,1
743,GCF_014648635.1,Streptomyces cinerochromogenes,1
744,GCF_014648655.1,Streptomyces atratus,1
745,GCF_014649055.1,Streptomyces gancidicus,1
746,GCF_014649135.1,Streptomyces niveoruber,1
747,GCF_014649475.1,Streptomyces daghestanicus,1
748,GCF_014649515.1,Streptomyces flavoviridis,1
749,GCF_014649535.1,Streptomyces gelaticus,1
750,GCF_014649595.1,Streptomyces griseomycini,1
751,GCF_014649695.1,Streptomyces kurssanovii,1
752,GCF_014649875.1,Streptomyces rubiginosohelvolus,1
753,GCF_014649895.1,Streptomyces rubiginosus,1
754,GCF_014649995.1,Streptomyces griseoflavus,1
755,GCF_014650055.1,Streptomyces malachitofuscus,1
756,GCF_014650115.1,Streptomyces olivaceoviridis,1
757,GCF_014650135.1,Streptomyces plicatus,1
758,GCF_014650155.1,Streptomyces purpurascens,1
759,GCF_014650435.1,Streptomyces tendae,1
760,GCF_014650735.1,Streptomyces canarius,1
761,GCF_014650895.1,Streptomyces omiyaensis,1
762,GCF_014651075.1,Streptomyces djakartensis,1
763,GCF_014655335.1,Streptomyces griseus,1
764,GCF_014655475.1,Streptomyces viridodiastaticus,1
765,GCF_014656075.1,Streptomyces hydrogenans,1
766,GCF_014673495.1,Streptomyces griseofuscus,7
767,GCF_014701095.1,Streptomyces tuirus,5
768,GCF_014748265.1,Streptomyces sp.,5
769,GCF_014748275.1,Streptomyces sp.,1
770,GCF_014905535.1,Streptomyces sp.,1
771,GCF_015163075.1,Streptomyces sp.,1
772,GCF_015244315.1,Streptomyces olivaceus,3
773,GCF_015475835.1,Streptomyces sp.,1
774,GCF_015645455.1,Streptomyces olivaceus,1
775,GCF_015680775.2,Streptomyces sp.,1
776,GCF_015710995.1,Streptomyces gardneri,7
777,GCF_016432735.1,Streptomyces sp.,5
778,GCF_016457305.1,Streptomyces sp.,7
779,GCF_016467295.1,Streptomyces costaricanus,6
780,GCF_016612545.1,Streptomyces sp.,1
781,GCF_016654065.1,Streptomyces sp.,1
781,GCF_016612575.1,Streptomyces sp.,1
781,GCF_016612645.1,Streptomyces sp.,1
782,GCF_016612625.1,Streptomyces sp.,1
783,GCF_016612665.1,Streptomyces sp.,1
784,GCF_016612775.1,Streptomyces sp.,1
784,GCF_016612725.1,Streptomyces sp.,1
784,GCF_016612705.1,Streptomyces sp.,1
785,GCF_016613335.1,Streptomyces sp.,1
785,GCF_016613285.1,Streptomyces sp.,1
786,GCF_016653995.1,Streptomyces sp.,1
787,GCF_016654055.1,Streptomyces sp.,1
788,GCF_016654115.1,Streptomyces sp.,1
789,GCF_016741825.1,Streptomyces sp.,1
790,GCF_016741855.1,Streptomyces sp.,1
791,GCF_016741935.1,Streptomyces sp.,1
792,GCF_016772455.1,Streptomyces fulvissimus,1
793,GCF_016803985.1,Streptomyces koyangensis,5
794,GCF_016860525.1,Streptomyces achromogenes,3
795,GCF_016901035.1,Streptomyces sp.,1
796,GCF_016909575.1,Streptomyces sp.,1
797,GCF_016917755.1,Streptomyces noursei,1
798,GCF_017311125.1,Streptomyces sp.,6
799,GCF_017358145.1,Streptomyces sp.,6
800,GCF_017526105.1,Streptomyces cyanogenus,1
801,GCF_017592595.1,Streptomyces sp.,1
802,GCF_017614965.1,Streptomyces griseorubiginosus,1
803,GCF_017877015.1,Streptomyces sp.,7
804,GCF_017933235.1,Streptomyces sp.,5
804,GCF_017968965.1,Streptomyces sp.,5
805,GCF_017948495.1,Streptomyces sp.,1
806,GCF_017969005.1,Streptomyces sp.,3
807,GCF_017969025.1,Streptomyces sp.,2
808,GCF_018070055.1,Streptomyces sp.,1
809,GCF_018070125.1,Streptomyces sp.,1
810,GCF_018070145.1,Streptomyces sp.,1
811,GCF_018070175.1,Streptomyces sp.,1
811,GCF_018070265.1,Streptomyces sp.,1
812,GCF_018070205.1,Streptomyces sp.,1
813,GCF_018070225.1,Streptomyces sp.,1
814,GCF_018070255.1,Streptomyces sp.,1
815,GCF_018070535.1,Streptomyces sp.,1
816,GCF_018070665.1,Streptomyces sp.,1
817,GCF_018070745.1,Streptomyces sp.,1
818,GCF_018128905.1,Streptomyces sp.,6
819,GCF_018530775.1,Streptomyces sp.,1
820,GCF_018530825.1,Streptomyces sp.,1
821,GCF_018614185.1,Streptomyces sp.,1
821,GCF_018614355.1,Streptomyces sp.,1
822,GCF_018614415.1,Streptomyces sp.,1
823,GCF_018619135.1,Streptomyces sp.,1
824,GCF_018619165.1,Streptomyces sp.,1
824,GCF_018619195.1,Streptomyces sp.,1
824,GCF_018619235.1,Streptomyces sp.,1
825,GCF_018619185.1,Streptomyces sp.,1
826,GCF_018638305.1,Streptomyces sp.,1
827,GCF_018638335.1,Streptomyces sp.,1
828,GCF_018966745.1,Streptomyces sp.,1
829,GCF_018982965.1,Streptomyces sp.,1
830,GCF_019049125.1,Streptomyces sp.,1
831,GCF_019049185.1,Streptomyces anulatus,1
832,GCF_019049245.1,Streptomyces sp.,1
833,GCF_019049255.1,Streptomyces sp.,1
834,GCF_019049285.1,Streptomyces sp.,1
835,GCF_019067045.1,Streptomyces sp.,1
836,GCF_019090105.1,Streptomyces sp.,1
837,GCF_900079405.2,Streptomyces sp.,1
838,GCF_900079415.1,Streptomyces sp.,1
839,GCF_900091315.1,Streptomyces sp.,1
840,GCF_900091865.1,Streptomyces sp.,1
841,GCF_900091875.1,Streptomyces sp.,1
842,GCF_900091905.1,Streptomyces sp.,1
843,GCF_900092005.1,Streptomyces sp.,1
844,GCF_900104815.1,Streptomyces misionensis,4
845,GCF_900105265.1,Streptomyces sp.,1
846,GCF_900105395.1,Streptomyces sp.,10
847,GCF_900105465.1,Streptomyces sp.,5
848,GCF_900105605.1,Streptomyces sp.,6
849,GCF_900105915.1,Streptomyces sp.,7
850,GCF_900119365.1,Streptomyces atratus,1
851,GCF_900171555.1,Streptomyces albidoflavus,1
852,GCF_900206255.1,Streptomyces sp.,4
853,GCF_900215595.1,Streptomyces sp.,6
854,GCF_900215615.1,Streptomyces sp.,6
