FILE,marker,variant
GCF_005981925.1,atpD,581
GCF_005981935.1,atpD,466
GCF_005981965.1,atpD,466
GCF_006088715.1,atpD,729
GCF_006229535.1,atpD,58
GCF_006516935.1,atpD,672
GCF_006539185.1,atpD,551
GCF_006539505.1,atpD,452
GCF_006540305.1,atpD,449
GCF_006547165.1,atpD,140
GCF_006547175.1,atpD,140
GCF_006547185.1,atpD,140
GCF_006715185.1,atpD,213
GCF_006715395.1,atpD,677
GCF_006715635.1,atpD,925
GCF_006715785.1,atpD,254
GCF_006715925.1,atpD,267
GCF_006716135.1,atpD,365
GCF_006782915.1,atpD,365
GCF_006788935.1,atpD,216
GCF_006974005.1,atpD,427
GCF_007050945.1,atpD,592
GCF_007096885.1,atpD,443
GCF_007097205.2,atpD,587
GCF_007113405.2,atpD,199
GCF_007113425.2,atpD,199
GCF_007113445.1,atpD,199
GCF_007113465.1,atpD,199
GCF_007113485.2,atpD,199
GCF_007113505.2,atpD,199
GCF_007113525.2,atpD,199
GCF_007113545.2,atpD,199
GCF_007113565.2,atpD,546
GCF_007113585.2,atpD,199
GCF_007113665.2,atpD,199
GCF_007176755.1,atpD,416
GCF_007280575.1,atpD,538
GCF_007280585.1,atpD,538
GCF_007363395.1,atpD,669
GCF_007677905.1,atpD,420
GCF_007679265.1,atpD,420
GCF_007679425.1,atpD,420
GCF_007679945.1,atpD,557
GCF_007827595.1,atpD,233
GCF_007828695.1,atpD,886
GCF_007829875.1,atpD,404
GCF_007829885.1,atpD,394
GCF_007856155.1,atpD,896
GCF_007896895.1,atpD,666
GCF_007896905.1,atpD,5
GCF_007994955.1,atpD,673
GCF_008016805.1,atpD,279
GCF_008039505.1,atpD,397
GCF_008042035.1,atpD,653
GCF_008042065.1,atpD,720
GCF_008042075.1,atpD,391
GCF_008042115.1,atpD,680
GCF_008042145.1,atpD,820
GCF_008042155.1,atpD,8
GCF_008042275.1,atpD,549
GCF_008086975.1,atpD,16
GCF_008087005.1,atpD,84
GCF_008120935.1,atpD,239
GCF_008124905.1,atpD,127
GCF_008124915.1,atpD,127
GCF_008124975.1,atpD,127
GCF_008124985.1,atpD,127
GCF_008125035.1,atpD,127
GCF_008180165.1,atpD,319
GCF_008271805.1,atpD,502
GCF_008312835.1,atpD,515
GCF_008369065.1,atpD,189
GCF_008386495.1,atpD,223
GCF_008632535.1,atpD,104
GCF_008632955.1,atpD,351
GCF_008634015.1,atpD,810
GCF_008634025.1,atpD,65
GCF_008639045.1,atpD,229
GCF_008639165.1,atpD,15
GCF_008642275.1,atpD,369
GCF_008642295.1,atpD,593
GCF_008642315.1,atpD,803
GCF_008642335.1,atpD,486
GCF_008642355.1,atpD,415
GCF_008642375.1,atpD,749
GCF_008704425.1,atpD,359
GCF_008704445.1,atpD,609
GCF_008704495.1,atpD,14
GCF_008704515.1,atpD,758
GCF_008704535.1,atpD,30
GCF_008704555.1,atpD,102
GCF_008704575.1,atpD,534
GCF_008704655.1,atpD,58
GCF_008704715.1,atpD,293
GCF_008704795.1,atpD,669
GCF_008704855.1,atpD,78
GCF_008704995.1,atpD,151
GCF_008705135.1,atpD,398
GCF_008705255.1,atpD,229
GCF_008806595.1,atpD,348
GCF_008868685.1,atpD,432
GCF_008931305.1,atpD,127
GCF_008932075.1,atpD,17
GCF_008973465.1,atpD,884
GCF_008974245.1,atpD,476
GCF_009025935.1,atpD,849
GCF_009184865.1,atpD,705
GCF_009208535.1,atpD,148
GCF_009296025.1,atpD,341
GCF_009299385.1,atpD,247
GCF_009377175.1,atpD,472
GCF_009377185.1,atpD,895
GCF_009377205.1,atpD,347
GCF_009377235.1,atpD,731
GCF_009498275.1,atpD,710
GCF_009600885.1,atpD,930
GCF_009600895.1,atpD,930
GCF_009604455.1,atpD,851
GCF_009650765.1,atpD,460
GCF_009709575.1,atpD,533
GCF_009735685.1,atpD,701
GCF_009739225.1,atpD,277
GCF_009739465.1,atpD,740
GCF_009755605.1,atpD,509
GCF_009769735.1,atpD,380
GCF_009789635.1,atpD,745
GCF_009796285.1,atpD,816
GCF_009811555.1,atpD,60
GCF_009811575.1,atpD,74
GCF_009811595.1,atpD,84
GCF_009811635.1,atpD,55
GCF_009827025.1,atpD,725
GCF_009829585.1,atpD,765
GCF_009832925.1,atpD,320
GCF_009834105.1,atpD,222
GCF_009834125.1,atpD,542
GCF_009834145.1,atpD,604
GCF_009834665.1,atpD,359
GCF_009846825.1,atpD,5
GCF_009852415.1,atpD,286
GCF_009857135.1,atpD,873
GCF_009862025.1,atpD,271
GCF_009862105.1,atpD,205
GCF_009862115.1,atpD,227
GCF_009862265.1,atpD,775
GCF_009862355.1,atpD,156
GCF_009862365.1,atpD,38
GCF_009862445.1,atpD,127
GCF_009862465.1,atpD,37
GCF_009862475.1,atpD,205
GCF_009862505.1,atpD,85
GCF_009862625.1,atpD,460
GCF_009862685.1,atpD,271
GCF_009862765.1,atpD,570
GCF_009862825.1,atpD,305
GCF_009862865.1,atpD,119
GCF_009862985.1,atpD,290
GCF_009863025.1,atpD,313
GCF_009863035.1,atpD,522
GCF_009863095.1,atpD,257
GCF_009863125.1,atpD,588
GCF_009863145.1,atpD,328
GCF_009863165.1,atpD,205
GCF_009863235.1,atpD,37
GCF_009863285.1,atpD,689
GCF_009864805.1,atpD,427
GCF_009864845.1,atpD,471
GCF_009864905.1,atpD,258
GCF_009865135.1,atpD,328
GCF_009865165.1,atpD,415
GCF_009865175.1,atpD,415
GCF_009865205.1,atpD,779
GCF_009865265.1,atpD,215
GCF_009865305.1,atpD,911
GCF_009865365.1,atpD,37
GCF_009865405.1,atpD,566
GCF_009865465.1,atpD,205
GCF_009865475.1,atpD,585
GCF_009865505.1,atpD,17
GCF_009865545.1,atpD,760
GCF_009865565.1,atpD,400
GCF_009865585.1,atpD,417
GCF_009865595.1,atpD,862
GCF_009866455.1,atpD,6
GCF_009870065.1,atpD,273
GCF_009870085.1,atpD,121
GCF_009870095.1,atpD,436
GCF_009872515.1,atpD,297
GCF_009872535.1,atpD,836
GCF_009872555.1,atpD,559
GCF_009872565.1,atpD,258
GCF_009872615.1,atpD,661
GCF_009908195.1,atpD,907
GCF_009916105.1,atpD,289
GCF_009936315.1,atpD,61
GCF_010119355.1,atpD,271
GCF_010384365.1,atpD,489
GCF_010523235.1,atpD,5
GCF_010548045.1,atpD,11
GCF_010548075.1,atpD,415
GCF_010548115.1,atpD,447
GCF_010548165.1,atpD,690
GCF_010548175.1,atpD,727
GCF_010548215.1,atpD,294
GCF_010548375.1,atpD,275
GCF_010548385.1,atpD,228
GCF_010548435.1,atpD,401
GCF_010548465.1,atpD,387
GCF_010548505.1,atpD,388
GCF_010548515.1,atpD,801
GCF_010548525.1,atpD,750
GCF_010548615.1,atpD,11
GCF_010548665.1,atpD,541
GCF_010548675.1,atpD,522
GCF_010548705.1,atpD,11
GCF_010548715.1,atpD,282
GCF_010548725.1,atpD,372
GCF_010550325.1,atpD,127
GCF_010550365.1,atpD,387
GCF_010550405.1,atpD,185
GCF_010550435.1,atpD,387
GCF_010550505.1,atpD,294
GCF_010550525.1,atpD,11
GCF_010550535.1,atpD,282
GCF_010550605.1,atpD,760
GCF_010550645.1,atpD,387
GCF_010669165.1,atpD,517
GCF_010892295.1,atpD,504
GCF_010993835.1,atpD,610
GCF_011006355.1,atpD,115
GCF_011008945.1,atpD,685
GCF_011044995.1,atpD,877
GCF_011045025.1,atpD,479
GCF_011045075.1,atpD,516
GCF_011055525.1,atpD,227
GCF_011170105.1,atpD,372
GCF_011170125.1,atpD,456
GCF_011170145.1,atpD,372
GCF_011193355.1,atpD,441
GCF_011290345.1,atpD,265
GCF_011317205.1,atpD,237
GCF_011650445.1,atpD,315
GCF_011694815.1,atpD,510
GCF_011751035.2,atpD,470
GCF_011758705.1,atpD,247
GCF_011800555.1,atpD,427
GCF_011820545.1,atpD,143
GCF_012033785.1,atpD,406
GCF_012034235.1,atpD,905
GCF_012034385.1,atpD,774
GCF_012044595.1,atpD,468
GCF_012184365.2,atpD,5
GCF_012273515.1,atpD,706
GCF_012273535.1,atpD,199
GCF_012273655.1,atpD,386
GCF_012328665.1,atpD,683
GCF_012726235.1,atpD,642
GCF_012922115.1,atpD,199
GCF_012927225.1,atpD,384
GCF_012927245.1,atpD,384
GCF_012933395.1,atpD,294
GCF_013009255.1,atpD,217
GCF_013030945.1,atpD,622
GCF_013044505.1,atpD,246
GCF_013046785.1,atpD,752
GCF_013055795.1,atpD,869
GCF_013085465.1,atpD,856
GCF_013167895.1,atpD,46
GCF_013177615.1,atpD,652
GCF_013302895.1,atpD,200
GCF_013307045.1,atpD,127
GCF_013317105.1,atpD,127
GCF_013345665.1,atpD,427
GCF_013363455.1,atpD,590
GCF_013363465.1,atpD,27
GCF_013363475.1,atpD,643
GCF_013363555.1,atpD,5
GCF_013363575.1,atpD,185
GCF_013363655.1,atpD,354
GCF_013363665.1,atpD,590
GCF_013363675.1,atpD,216
GCF_013363735.1,atpD,643
GCF_013364095.1,atpD,335
GCF_013364155.1,atpD,835
GCF_013364175.1,atpD,267
GCF_013364195.1,atpD,770
GCF_013364315.1,atpD,1
GCF_013364375.1,atpD,238
GCF_013375055.1,atpD,293
GCF_013394065.1,atpD,645
GCF_013401535.1,atpD,498
GCF_013409565.1,atpD,46
GCF_013414305.1,atpD,594
GCF_013421635.1,atpD,345
GCF_013423905.1,atpD,888
GCF_013433285.1,atpD,217
GCF_013450295.1,atpD,908
GCF_013618515.1,atpD,587
GCF_013618545.1,atpD,587
GCF_013693715.1,atpD,36
GCF_013870495.1,atpD,631
GCF_013870515.1,atpD,919
GCF_013870595.1,atpD,615
GCF_013913525.1,atpD,424
GCF_014070435.1,atpD,101
GCF_014076605.1,atpD,57
GCF_014083905.1,atpD,357
GCF_014138545.1,atpD,365
GCF_014138735.1,atpD,365
GCF_014138855.1,atpD,271
GCF_014138905.1,atpD,271
GCF_014156695.1,atpD,844
GCF_014197485.1,atpD,247
GCF_014202475.1,atpD,252
GCF_014203475.1,atpD,669
GCF_014203495.1,atpD,426
GCF_014203505.1,atpD,206
GCF_014203535.1,atpD,403
GCF_014203545.1,atpD,236
GCF_014203555.1,atpD,694
GCF_014203595.1,atpD,777
GCF_014203895.1,atpD,299
GCF_014205035.1,atpD,151
GCF_014205055.1,atpD,252
GCF_014205255.1,atpD,278
GCF_014205315.1,atpD,160
GCF_014207295.1,atpD,458
GCF_014207445.1,atpD,492
GCF_014216315.1,atpD,598
GCF_014216335.1,atpD,372
GCF_014217585.1,atpD,16
GCF_014252945.1,atpD,569
GCF_014253015.1,atpD,444
GCF_014257025.1,atpD,467
GCF_014280945.1,atpD,342
GCF_014281035.1,atpD,204
GCF_014489615.1,atpD,553
GCF_014489635.1,atpD,571
GCF_014493765.1,atpD,871
GCF_014495705.1,atpD,506
GCF_014596505.1,atpD,308
GCF_014596525.1,atpD,308
GCF_014596915.1,atpD,776
GCF_014621695.1,atpD,218
GCF_014645895.1,atpD,910
GCF_014646275.1,atpD,762
GCF_014647695.1,atpD,423
GCF_014648075.1,atpD,240
GCF_014648195.1,atpD,159
GCF_014648615.1,atpD,41
GCF_014648635.1,atpD,327
GCF_014648655.1,atpD,93
GCF_014648695.1,atpD,63
GCF_014648795.1,atpD,16
GCF_014648815.1,atpD,526
GCF_014648875.1,atpD,104
GCF_014648935.1,atpD,456
GCF_014649015.1,atpD,736
GCF_014649135.1,atpD,872
GCF_014649195.1,atpD,278
GCF_014649215.1,atpD,216
GCF_014649255.1,atpD,913
GCF_014649315.1,atpD,365
GCF_014649335.1,atpD,794
GCF_014649375.1,atpD,728
GCF_014649435.1,atpD,722
GCF_014649455.1,atpD,398
GCF_014649475.1,atpD,852
GCF_014649515.1,atpD,362
GCF_014649535.1,atpD,98
GCF_014649595.1,atpD,788
GCF_014649635.1,atpD,403
GCF_014649795.1,atpD,744
GCF_014649815.1,atpD,885
GCF_014649875.1,atpD,226
GCF_014649895.1,atpD,184
GCF_014649915.1,atpD,623
GCF_014649995.1,atpD,715
GCF_014650035.1,atpD,350
GCF_014650075.1,atpD,12
GCF_014650095.1,atpD,302
GCF_014650115.1,atpD,605
GCF_014650135.1,atpD,773
GCF_014650155.1,atpD,433
GCF_014650175.1,atpD,870
GCF_014650195.1,atpD,554
GCF_014650215.1,atpD,561
GCF_014650275.1,atpD,546
GCF_014650315.1,atpD,293
GCF_014650375.1,atpD,102
GCF_014650435.1,atpD,483
GCF_014650455.1,atpD,309
GCF_014650495.1,atpD,125
GCF_014650515.1,atpD,29
GCF_014650535.1,atpD,255
GCF_014650615.1,atpD,426
GCF_014650715.1,atpD,671
GCF_014650735.1,atpD,829
GCF_014650755.1,atpD,466
GCF_014650775.1,atpD,26
GCF_014650795.1,atpD,127
GCF_014650815.1,atpD,499
GCF_014650835.1,atpD,534
GCF_014650875.1,atpD,336
GCF_014650895.1,atpD,595
GCF_014650915.1,atpD,241
GCF_014650935.1,atpD,30
GCF_014650975.1,atpD,905
GCF_014650995.1,atpD,733
GCF_014651015.1,atpD,31
GCF_014651075.1,atpD,648
GCF_014651115.1,atpD,936
GCF_014651155.1,atpD,127
GCF_014653855.1,atpD,303
GCF_014654675.1,atpD,756
GCF_014654895.1,atpD,810
GCF_014655295.1,atpD,368
GCF_014655335.1,atpD,34
GCF_014655475.1,atpD,241
GCF_014655715.1,atpD,435
GCF_014655855.1,atpD,492
GCF_014656075.1,atpD,654
GCF_014656095.1,atpD,389
GCF_014656135.1,atpD,821
GCF_014656235.1,atpD,74
GCF_014673495.1,atpD,271
GCF_014701095.1,atpD,252
GCF_014712245.1,atpD,57
GCF_014748315.1,atpD,623
GCF_014779715.1,atpD,591
GCF_014852565.2,atpD,339
GCF_014852655.1,atpD,339
GCF_014873495.1,atpD,496
GCF_014905535.1,atpD,654
GCF_014905555.1,atpD,860
GCF_014930355.1,atpD,376
GCF_014930365.1,atpD,376
GCF_014930395.1,atpD,376
GCF_014930405.1,atpD,376
GCF_014930415.1,atpD,376
GCF_015160855.1,atpD,563
GCF_015160875.1,atpD,722
GCF_015163075.1,atpD,814
GCF_015244315.1,atpD,194
GCF_015475835.1,atpD,276
GCF_015475845.1,atpD,206
GCF_015601545.1,atpD,27
GCF_015645455.1,atpD,454
GCF_015680775.2,atpD,602
GCF_015689475.1,atpD,427
GCF_015708605.1,atpD,126
GCF_015710995.1,atpD,438
GCF_015712165.1,atpD,778
GCF_015767735.1,atpD,126
GCF_015767755.1,atpD,126
GCF_015767775.1,atpD,126
GCF_015767795.1,atpD,126
GCF_015767815.1,atpD,126
GCF_015767855.1,atpD,126
GCF_015767875.1,atpD,126
GCF_015767895.1,atpD,126
GCF_015767915.1,atpD,126
GCF_015767935.1,atpD,126
GCF_015770475.1,atpD,848
GCF_015910445.1,atpD,537
GCF_015912395.1,atpD,126
GCF_015912435.1,atpD,126
GCF_015912455.1,atpD,126
GCF_015912465.1,atpD,126
GCF_015912875.1,atpD,126
GCF_015912895.1,atpD,126
GCF_015912925.1,atpD,126
GCF_015912945.1,atpD,126
GCF_015912975.1,atpD,126
GCF_015912985.1,atpD,126
GCF_015912995.1,atpD,126
GCF_015999245.1,atpD,442
GCF_016017415.1,atpD,385
GCF_016103465.1,atpD,535
GCF_016128295.1,atpD,212
GCF_016411765.1,atpD,499
GCF_016432665.1,atpD,375
GCF_016432685.1,atpD,241
GCF_016432735.1,atpD,241
GCF_016457305.1,atpD,271
GCF_016464295.1,atpD,552
GCF_016467295.1,atpD,271
GCF_016482685.1,atpD,647
GCF_016491645.1,atpD,342
GCF_016521585.1,atpD,498
GCF_016598475.1,atpD,726
GCF_016598575.1,atpD,800
GCF_016612545.1,atpD,687
GCF_016612575.1,atpD,319
GCF_016612605.1,atpD,319
GCF_016612625.1,atpD,806
GCF_016612645.1,atpD,319
GCF_016612665.1,atpD,258
GCF_016612705.1,atpD,333
GCF_016612725.1,atpD,333
GCF_016612755.1,atpD,40
GCF_016612775.1,atpD,333
GCF_016612805.1,atpD,440
GCF_016612825.1,atpD,440
GCF_016612855.1,atpD,639
GCF_016613285.1,atpD,92
GCF_016613335.1,atpD,92
GCF_016624005.1,atpD,498
GCF_016653995.1,atpD,1
GCF_016654055.1,atpD,333
GCF_016654065.1,atpD,319
GCF_016654115.1,atpD,763
GCF_016741775.1,atpD,453
GCF_016741825.1,atpD,465
GCF_016741855.1,atpD,702
GCF_016741875.1,atpD,899
GCF_016741935.1,atpD,807
GCF_016755855.1,atpD,41
GCF_016755875.1,atpD,43
GCF_016755895.1,atpD,179
GCF_016757295.1,atpD,511
GCF_016772455.1,atpD,1
GCF_016803985.1,atpD,505
GCF_016804005.1,atpD,741
GCF_016834575.1,atpD,184
GCF_016860525.1,atpD,611
GCF_016860545.1,atpD,304
GCF_016901035.1,atpD,861
GCF_016906185.1,atpD,2
GCF_016906205.1,atpD,2
GCF_016906225.1,atpD,2
GCF_016906245.1,atpD,2
GCF_016906265.1,atpD,2
GCF_016909575.1,atpD,256
GCF_016917755.1,atpD,318
GCF_016919245.1,atpD,560
GCF_016919685.1,atpD,305
GCF_016921115.1,atpD,577
GCF_017114865.1,atpD,638
GCF_017311125.1,atpD,381
GCF_017349075.1,atpD,382
GCF_017352335.1,atpD,151
GCF_017356985.1,atpD,382
GCF_017358145.1,atpD,1
GCF_017377775.1,atpD,343
GCF_017526105.1,atpD,826
GCF_017592595.1,atpD,815
GCF_017614965.1,atpD,789
GCF_017639205.1,atpD,41
GCF_017676345.1,atpD,894
GCF_017676385.1,atpD,739
GCF_017813245.1,atpD,916
GCF_017825375.1,atpD,753
GCF_017874495.1,atpD,266
GCF_017876235.1,atpD,16
GCF_017876255.1,atpD,446
GCF_017876625.1,atpD,236
GCF_017877015.1,atpD,358
GCF_017916255.1,atpD,148
GCF_017933115.1,atpD,165
GCF_017933235.1,atpD,165
GCF_017933255.1,atpD,165
GCF_017942185.1,atpD,87
GCF_017948455.1,atpD,909
GCF_017948485.1,atpD,429
GCF_017968905.1,atpD,165
GCF_017968935.1,atpD,165
GCF_017968965.1,atpD,165
GCF_017969005.1,atpD,165
GCF_017969025.1,atpD,165
GCF_017969045.1,atpD,165
GCF_017979945.1,atpD,5
GCF_018035285.1,atpD,334
GCF_018069565.1,atpD,539
GCF_018069625.1,atpD,628
GCF_018070055.1,atpD,342
GCF_018070125.1,atpD,342
GCF_018070145.1,atpD,423
GCF_018070175.1,atpD,448
GCF_018070205.1,atpD,536
GCF_018070225.1,atpD,241
GCF_018070255.1,atpD,402
GCF_018070265.1,atpD,448
GCF_018070535.1,atpD,270
GCF_018070565.1,atpD,923
GCF_018070605.1,atpD,462
GCF_018070665.1,atpD,506
GCF_018070745.1,atpD,506
GCF_018101125.2,atpD,914
GCF_018128905.1,atpD,395
GCF_018138705.1,atpD,87
GCF_018138715.1,atpD,87
GCF_018141485.1,atpD,212
GCF_018255875.1,atpD,142
GCF_018310535.1,atpD,199
GCF_018310575.1,atpD,238
GCF_018530775.1,atpD,326
GCF_018530825.1,atpD,481
GCF_018614035.1,atpD,724
GCF_018614055.1,atpD,891
GCF_018614075.1,atpD,719
GCF_018614185.1,atpD,405
GCF_018614355.1,atpD,405
GCF_018614415.1,atpD,519
GCF_018614445.1,atpD,291
GCF_018614515.1,atpD,291
GCF_018614525.1,atpD,917
GCF_018614615.1,atpD,600
GCF_018619165.1,atpD,36
GCF_018619185.1,atpD,268
GCF_018619195.1,atpD,36
GCF_018619235.1,atpD,36
GCF_018619495.1,atpD,204
GCF_018619515.1,atpD,204
GCF_018619535.1,atpD,204
GCF_018619555.1,atpD,204
GCF_018619575.1,atpD,204
GCF_018619585.1,atpD,204
GCF_018638295.1,atpD,198
GCF_018638305.1,atpD,568
GCF_018638335.1,atpD,5
GCF_018728545.1,atpD,421
GCF_018883605.1,atpD,317
GCF_018927715.1,atpD,461
GCF_018966745.1,atpD,575
GCF_018982965.1,atpD,531
GCF_019029485.1,atpD,561
GCF_019029505.1,atpD,561
GCF_019049125.1,atpD,436
GCF_019049165.1,atpD,630
GCF_019049185.1,atpD,11
GCF_019049245.1,atpD,621
GCF_019049255.1,atpD,300
GCF_019049285.1,atpD,251
GCF_019049325.1,atpD,612
GCF_019049345.1,atpD,225
GCF_019056675.1,atpD,883
GCF_019067045.1,atpD,5
GCF_019090105.1,atpD,295
GCF_019091445.1,atpD,546
GCF_019091475.1,atpD,718
GCF_900079405.2,atpD,682
GCF_900079415.1,atpD,847
GCF_900090065.1,atpD,37
GCF_900090085.1,atpD,759
GCF_900091315.1,atpD,187
GCF_900091715.1,atpD,205
GCF_900091725.1,atpD,588
GCF_900091745.1,atpD,37
GCF_900091765.1,atpD,37
GCF_900091775.1,atpD,328
GCF_900091785.1,atpD,92
GCF_900091835.1,atpD,37
GCF_900091845.1,atpD,257
GCF_900091865.1,atpD,94
GCF_900091875.1,atpD,714
GCF_900091885.1,atpD,5
GCF_900091905.1,atpD,6
GCF_900091975.1,atpD,271
GCF_900091985.1,atpD,271
GCF_900091995.1,atpD,215
GCF_900092005.1,atpD,708
GCF_900095575.1,atpD,205
GCF_900101585.1,atpD,603
GCF_900102095.1,atpD,424
GCF_900102245.1,atpD,232
GCF_900103585.1,atpD,409
GCF_900104815.1,atpD,682
GCF_900104865.1,atpD,214
GCF_900104935.1,atpD,127
GCF_900105235.1,atpD,232
GCF_900105245.1,atpD,655
GCF_900105265.1,atpD,811
GCF_900105275.1,atpD,469
GCF_900105395.1,atpD,459
GCF_900105465.1,atpD,469
GCF_900105515.1,atpD,618
GCF_900105525.1,atpD,214
GCF_900105605.1,atpD,792
GCF_900105695.1,atpD,70
GCF_900105705.1,atpD,6
GCF_900105755.1,atpD,793
GCF_900105775.1,atpD,232
GCF_900105915.1,atpD,232
GCF_900112965.1,atpD,546
GCF_900114215.1,atpD,781
GCF_900114955.1,atpD,376
GCF_900116325.1,atpD,880
GCF_900119365.1,atpD,863
GCF_900129855.1,atpD,784
GCF_900171555.1,atpD,92
GCF_900177255.1,atpD,764
GCF_900187385.1,atpD,232
GCF_900187925.1,atpD,258
GCF_900199205.1,atpD,431
GCF_900206255.1,atpD,813
GCF_900215305.1,atpD,546
GCF_900215565.1,atpD,352
GCF_900215595.1,atpD,596
GCF_900215615.1,atpD,377
GCF_900221035.1,atpD,646
GCF_900230275.1,atpD,370
GCF_900236475.1,atpD,290
GCF_900236505.1,atpD,290
GCF_900290235.1,atpD,287
GCF_900460065.1,atpD,6
GCF_900460115.1,atpD,372
GCF_902506575.1,atpD,569
GCF_904440635.1,atpD,17
GCF_904440645.1,atpD,17
GCF_000009765.2,gyrB,117
GCF_000010605.1,gyrB,8
GCF_000091305.1,gyrB,161
GCF_000092385.1,gyrB,439
GCF_000147815.2,gyrB,266
GCF_000148465.1,gyrB,123
GCF_000156695.2,gyrB,426
GCF_000163875.1,gyrB,123
GCF_000177175.2,gyrB,6
GCF_000177195.2,gyrB,188
GCF_000220705.2,gyrB,176
GCF_000225525.1,gyrB,179
GCF_000226455.1,gyrB,685
GCF_000239075.1,gyrB,362
GCF_000253235.1,gyrB,16
GCF_000261345.2,gyrB,478
GCF_000262345.1,gyrB,186
GCF_000280865.2,gyrB,713
GCF_000297635.1,gyrB,274
GCF_000299175.2,gyrB,255
GCF_000316095.1,gyrB,131
GCF_000317595.1,gyrB,137
GCF_000331185.2,gyrB,58
GCF_000332625.1,gyrB,566
GCF_000340335.1,gyrB,119
GCF_000342125.1,gyrB,145
GCF_000349325.1,gyrB,458
GCF_000359525.1,gyrB,5
GCF_000364805.1,gyrB,152
GCF_000367365.1,gyrB,153
GCF_000373225.1,gyrB,111
GCF_000373405.1,gyrB,484
GCF_000380165.1,gyrB,173
GCF_000382745.1,gyrB,188
GCF_000383595.1,gyrB,119
GCF_000384175.1,gyrB,155
GCF_000385945.1,gyrB,130
GCF_000403665.1,gyrB,348
GCF_000403765.2,gyrB,561
GCF_000404005.1,gyrB,149
GCF_000411315.1,gyrB,660
GCF_000411495.1,gyrB,235
GCF_000414115.1,gyrB,403
GCF_000429085.1,gyrB,127
GCF_000444875.1,gyrB,699
GCF_000495755.1,gyrB,205
GCF_000497425.1,gyrB,593
GCF_000497445.1,gyrB,207
GCF_000498935.1,gyrB,426
GCF_000504065.1,gyrB,561
GCF_000590515.1,gyrB,285
GCF_000612545.2,gyrB,513
GCF_000647875.1,gyrB,200
GCF_000695235.1,gyrB,561
GCF_000696595.1,gyrB,141
GCF_000698495.1,gyrB,35
GCF_000700005.2,gyrB,211
GCF_000707925.2,gyrB,58
GCF_000709915.1,gyrB,534
GCF_000715745.1,gyrB,2
GCF_000715845.1,gyrB,90
GCF_000716025.1,gyrB,21
GCF_000716215.1,gyrB,157
GCF_000716435.1,gyrB,406
GCF_000716445.1,gyrB,174
GCF_000716455.1,gyrB,192
GCF_000716515.1,gyrB,496
GCF_000716525.1,gyrB,113
GCF_000716535.1,gyrB,256
GCF_000716605.1,gyrB,524
GCF_000716625.1,gyrB,118
GCF_000716675.1,gyrB,112
GCF_000716685.1,gyrB,318
GCF_000716805.1,gyrB,178
GCF_000716845.1,gyrB,58
GCF_000716875.1,gyrB,148
GCF_000716935.1,gyrB,13
GCF_000717025.1,gyrB,9
GCF_000717055.1,gyrB,136
GCF_000717215.1,gyrB,331
GCF_000717285.1,gyrB,58
GCF_000717345.1,gyrB,53
GCF_000717375.1,gyrB,110
GCF_000717595.1,gyrB,287
GCF_000717645.1,gyrB,2
GCF_000717655.1,gyrB,387
GCF_000717665.1,gyrB,2
GCF_000717725.1,gyrB,148
GCF_000717745.1,gyrB,73
GCF_000717795.1,gyrB,6
GCF_000717805.1,gyrB,58
GCF_000717815.1,gyrB,532
GCF_000717845.1,gyrB,330
GCF_000717895.1,gyrB,256
GCF_000717925.1,gyrB,457
GCF_000717965.1,gyrB,2
GCF_000717995.1,gyrB,171
GCF_000718015.1,gyrB,69
GCF_000718095.1,gyrB,163
GCF_000718155.1,gyrB,139
GCF_000718165.1,gyrB,411
GCF_000718175.1,gyrB,11
GCF_000718205.1,gyrB,2
GCF_000718235.1,gyrB,2
GCF_000718245.1,gyrB,2
GCF_000718295.1,gyrB,58
GCF_000718305.1,gyrB,79
GCF_000718315.1,gyrB,132
GCF_000718375.1,gyrB,194
GCF_000718455.1,gyrB,443
GCF_000718525.1,gyrB,648
GCF_000718595.1,gyrB,118
GCF_000718615.1,gyrB,2
GCF_000718625.1,gyrB,140
GCF_000718635.1,gyrB,169
GCF_000718675.1,gyrB,314
GCF_000718695.1,gyrB,2
GCF_000718705.1,gyrB,198
GCF_000718715.1,gyrB,58
GCF_000718755.1,gyrB,250
GCF_000718775.1,gyrB,267
GCF_000718785.1,gyrB,570
GCF_000718815.1,gyrB,58
GCF_000718835.1,gyrB,58
GCF_000718865.1,gyrB,58
GCF_000718915.1,gyrB,2
GCF_000718935.1,gyrB,515
GCF_000718955.1,gyrB,497
GCF_000718985.1,gyrB,143
GCF_000719035.1,gyrB,2
GCF_000719185.1,gyrB,250
GCF_000719195.1,gyrB,2
GCF_000719255.1,gyrB,169
GCF_000719265.1,gyrB,289
GCF_000719345.1,gyrB,261
GCF_000719355.1,gyrB,353
GCF_000719365.1,gyrB,659
GCF_000719425.1,gyrB,113
GCF_000719435.1,gyrB,562
GCF_000719495.1,gyrB,26
GCF_000719505.1,gyrB,625
GCF_000719555.1,gyrB,671
GCF_000719585.1,gyrB,2
GCF_000719605.1,gyrB,337
GCF_000719625.1,gyrB,198
GCF_000719655.1,gyrB,2
GCF_000719665.1,gyrB,432
GCF_000719735.1,gyrB,563
GCF_000719785.1,gyrB,46
GCF_000719855.1,gyrB,374
GCF_000719865.1,gyrB,292
GCF_000719895.1,gyrB,461
GCF_000719925.1,gyrB,2
GCF_000719955.1,gyrB,92
